Character(decimal),Decimal,Character(hex),Hex,Name,Braille
𒃏,73935,𒃏,120CF,CUNEIFORM SIGN GA2 TIMES GI4 PLUS A,⠛⠁⠼⠃⠐⠦⠛⠊⠼⠙⠐⠖⠁
𒃐,73936,𒃐,120D0,CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU,⠛⠁⠼⠃⠐⠦⠛⠊⠗⠼⠃⠐⠖⠎⠥
𒃑,73937,𒃑,120D1,CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2,⠛⠁⠼⠃⠐⠦⠓⠁⠐⠖⠇⠥⠐⠖⠑⠎⠓⠼⠃
𒃒,73938,𒃒,120D2,CUNEIFORM SIGN GA2 TIMES HAL,⠛⠁⠼⠃⠐⠦⠓⠁⠇
𒃓,73939,𒃓,120D3,CUNEIFORM SIGN GA2 TIMES HAL PLUS LA,⠛⠁⠼⠃⠐⠦⠓⠁⠇⠐⠖⠇⠁
𒃔,73940,𒃔,120D4,CUNEIFORM SIGN GA2 TIMES HI PLUS LI,⠛⠁⠼⠃⠐⠦⠓⠊⠐⠖⠇⠊
𒃕,73941,𒃕,120D5,CUNEIFORM SIGN GA2 TIMES HUB2,⠛⠁⠼⠃⠐⠦⠓⠥⠃⠼⠃
𒃖,73942,𒃖,120D6,CUNEIFORM SIGN GA2 TIMES IGI GUNU,⠛⠁⠼⠃⠐⠦⠊⠛⠊ ⠛⠥⠝⠥
𒃗,73943,𒃗,120D7,CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH,⠛⠁⠼⠃⠐⠦⠊⠎⠓⠐⠖⠓⠥⠐⠖⠁⠎⠓
𒃘,73944,𒃘,120D8,CUNEIFORM SIGN GA2 TIMES KAK,⠛⠁⠼⠃⠐⠦⠅⠁⠅
𒃙,73945,𒃙,120D9,CUNEIFORM SIGN GA2 TIMES KASKAL,⠛⠁⠼⠃⠐⠦⠅⠁⠎⠅⠁⠇
𒃚,73946,𒃚,120DA,CUNEIFORM SIGN GA2 TIMES KID,⠛⠁⠼⠃⠐⠦⠅⠊⠙
𒃛,73947,𒃛,120DB,CUNEIFORM SIGN GA2 TIMES KID PLUS LAL,⠛⠁⠼⠃⠐⠦⠅⠊⠙⠐⠖⠇⠁⠇
𒃜,73948,𒃜,120DC,CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN,⠛⠁⠼⠃⠐⠦⠅⠥⠼⠉⠐⠖⠁⠝
𒃝,73949,𒃝,120DD,CUNEIFORM SIGN GA2 TIMES LA,⠛⠁⠼⠃⠐⠦⠇⠁
𒃞,73950,𒃞,120DE,CUNEIFORM SIGN GA2 TIMES ME PLUS EN,⠛⠁⠼⠃⠐⠦⠍⠑⠐⠖⠑⠝
𒃟,73951,𒃟,120DF,CUNEIFORM SIGN GA2 TIMES MI,⠛⠁⠼⠃⠐⠦⠍⠊
𒃠,73952,𒃠,120,CUNEIFORM SIGN GA2 TIMES NUN,⠛⠁⠼⠃⠐⠦⠝⠥⠝
𒃡,73953,𒃡,1200,CUNEIFORM SIGN GA2 TIMES NUN OVER NUN,⠛⠁⠼⠃⠐⠦⠝⠥⠝⠐⠌⠝⠥⠝
𒃢,73954,𒃢,12000,CUNEIFORM SIGN GA2 TIMES PA,⠛⠁⠼⠃⠐⠦⠏⠁
𒃣,73955,𒃣,120000,CUNEIFORM SIGN GA2 TIMES SAL,⠛⠁⠼⠃⠐⠦⠎⠁⠇
𒃤,73956,𒃤,1200000,CUNEIFORM SIGN GA2 TIMES SAR,⠛⠁⠼⠃⠐⠦⠎⠁⠗
𒃥,73957,𒃥,12000000,CUNEIFORM SIGN GA2 TIMES SHE,⠛⠁⠼⠃⠐⠦⠎⠓⠑
𒃦,73958,𒃦,120000000,CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR,⠛⠁⠼⠃⠐⠦⠎⠓⠑⠐⠖⠞⠥⠗
𒃧,73959,𒃧,1200000000,CUNEIFORM SIGN GA2 TIMES SHID,⠛⠁⠼⠃⠐⠦⠎⠓⠊⠙
𒃨,73960,𒃨,12000000000,CUNEIFORM SIGN GA2 TIMES SUM,⠛⠁⠼⠃⠐⠦⠎⠥⠍
𒃩,73961,𒃩,120000000000,CUNEIFORM SIGN GA2 TIMES TAK4,⠛⠁⠼⠃⠐⠦⠞⠁⠅⠼⠙
𒃪,73962,𒃪,120EA,CUNEIFORM SIGN GA2 TIMES U,⠛⠁⠼⠃⠐⠦⠥
𒃫,73963,𒃫,120EB,CUNEIFORM SIGN GA2 TIMES UD,⠛⠁⠼⠃⠐⠦⠥⠙
𒃬,73964,𒃬,120EC,CUNEIFORM SIGN GA2 TIMES UD PLUS DU,⠛⠁⠼⠃⠐⠦⠥⠙⠐⠖⠙⠥
𒃭,73965,𒃭,120ED,CUNEIFORM SIGN GA2 OVER GA2,⠛⠁⠼⠃⠐⠌⠛⠁⠼⠃
𒃮,73966,𒃮,120EE,CUNEIFORM SIGN GABA,⠛⠁⠃⠁
𒃯,73967,𒃯,120EF,CUNEIFORM SIGN GABA CROSSING GABA,⠛⠁⠃⠁⠈⠯⠛⠁⠃⠁
𒃰,73968,𒃰,120F0,CUNEIFORM SIGN GAD,⠛⠁⠙
𒃱,73969,𒃱,120F1,CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR,⠛⠁⠙⠐⠌⠛⠁⠙ ⠛⠁⠗⠐⠌⠛⠁⠗
𒃲,73970,𒃲,120F2,CUNEIFORM SIGN GAL,⠛⠁⠇
𒃳,73971,𒃳,120F3,CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR,⠛⠁⠇ ⠛⠁⠙⠐⠌⠛⠁⠙ ⠛⠁⠗⠐⠌⠛⠁⠗
𒃴,73972,𒃴,120F4,CUNEIFORM SIGN GALAM,⠛⠁⠇⠁⠍
𒃵,73973,𒃵,120F5,CUNEIFORM SIGN GAM,⠛⠁⠍
𒃶,73974,𒃶,120F6,CUNEIFORM SIGN GAN,⠛⠁⠝
𒃷,73975,𒃷,120F7,CUNEIFORM SIGN GAN2,⠛⠁⠝⠼⠃
𒃸,73976,𒃸,120F8,CUNEIFORM SIGN GAN2 TENU,⠛⠁⠝⠼⠃ ⠞⠑⠝⠥
𒃹,73977,𒃹,120F9,CUNEIFORM SIGN GAN2 OVER GAN2,⠛⠁⠝⠼⠃⠐⠌⠛⠁⠝⠼⠃
𒃺,73978,𒃺,120FA,CUNEIFORM SIGN GAN2 CROSSING GAN2,⠛⠁⠝⠼⠃⠈⠯⠛⠁⠝⠼⠃
𒃻,73979,𒃻,120FB,CUNEIFORM SIGN GAR,⠛⠁⠗
𒃼,73980,𒃼,120FC,CUNEIFORM SIGN GAR3,⠛⠁⠗⠼⠉
𒃽,73981,𒃽,120FD,CUNEIFORM SIGN GASHAN,⠛⠁⠎⠓⠁⠝
𒃾,73982,𒃾,120FE,CUNEIFORM SIGN GESHTIN,⠛⠑⠎⠓⠞⠊⠝
𒃿,73983,𒃿,120FF,CUNEIFORM SIGN GESHTIN TIMES KUR,⠛⠑⠎⠓⠞⠊⠝⠐⠦⠅⠥⠗
𒄀,73984,𒄀,12100,CUNEIFORM SIGN GI,⠛⠊
𒄁,73985,𒄁,12101,CUNEIFORM SIGN GI TIMES E,⠛⠊⠐⠦⠑
𒄂,73986,𒄂,12102,CUNEIFORM SIGN GI TIMES U,⠛⠊⠐⠦⠥
𒄃,73987,𒄃,12103,CUNEIFORM SIGN GI CROSSING GI,⠛⠊⠈⠯⠛⠊
𒄄,73988,𒄄,12104,CUNEIFORM SIGN GI4,⠛⠊⠼⠙
𒄅,73989,𒄅,12105,CUNEIFORM SIGN GI4 OVER GI4,⠛⠊⠼⠙⠐⠌⠛⠊⠼⠙
𒄆,73990,𒄆,12106,CUNEIFORM SIGN GI4 CROSSING GI4,⠛⠊⠼⠙⠈⠯⠛⠊⠼⠙
𒄇,73991,𒄇,12107,CUNEIFORM SIGN GIDIM,⠛⠊⠙⠊⠍
𒄈,73992,𒄈,12108,CUNEIFORM SIGN GIR2,⠛⠊⠗⠼⠃
𒄉,73993,𒄉,12109,CUNEIFORM SIGN GIR2 GUNU,⠛⠊⠗⠼⠃ ⠛⠥⠝⠥
𒄊,73994,𒄊,1210A,CUNEIFORM SIGN GIR3,⠛⠊⠗⠼⠉
𒄋,73995,𒄋,1210B,CUNEIFORM SIGN GIR3 TIMES A PLUS IGI,⠛⠊⠗⠼⠉⠐⠦⠁⠐⠖⠊⠛⠊
𒄌,73996,𒄌,1210C,CUNEIFORM SIGN GIR3 TIMES GAN2 TENU,⠛⠊⠗⠼⠉⠐⠦⠛⠁⠝⠼⠃ ⠞⠑⠝⠥
𒄍,73997,𒄍,1210D,CUNEIFORM SIGN GIR3 TIMES IGI,⠛⠊⠗⠼⠉⠐⠦⠊⠛⠊
𒄎,73998,𒄎,1210E,CUNEIFORM SIGN GIR3 TIMES LU PLUS IGI,⠛⠊⠗⠼⠉⠐⠦⠇⠥⠐⠖⠊⠛⠊
𒄏,73999,𒄏,1210F,CUNEIFORM SIGN GIR3 TIMES PA,⠛⠊⠗⠼⠉⠐⠦⠏⠁
𒄐,74000,𒄐,12110,CUNEIFORM SIGN GISAL,⠛⠊⠎⠁⠇
𒄑,74001,𒄑,12111,CUNEIFORM SIGN GISH,⠛⠊⠎⠓
𒄒,74002,𒄒,12112,CUNEIFORM SIGN GISH CROSSING GISH,⠛⠊⠎⠓⠈⠯⠛⠊⠎⠓
𒄓,74003,𒄓,12113,CUNEIFORM SIGN GISH TIMES BAD,⠛⠊⠎⠓⠐⠦⠃⠁⠙
𒄔,74004,𒄔,12114,CUNEIFORM SIGN GISH TIMES TAK4,⠛⠊⠎⠓⠐⠦⠞⠁⠅⠼⠙
𒄕,74005,𒄕,12115,CUNEIFORM SIGN GISH TENU,⠛⠊⠎⠓ ⠞⠑⠝⠥
𒄖,74006,𒄖,12116,CUNEIFORM SIGN GU,⠛⠥
𒄗,74007,𒄗,12117,CUNEIFORM SIGN GU CROSSING GU,⠛⠥⠈⠯⠛⠥
𒄘,74008,𒄘,12118,CUNEIFORM SIGN GU2,⠛⠥⠼⠃
𒄙,74009,𒄙,12119,CUNEIFORM SIGN GU2 TIMES KAK,⠛⠥⠼⠃⠐⠦⠅⠁⠅
𒄚,74010,𒄚,1211A,CUNEIFORM SIGN GU2 TIMES KAK TIMES IGI GUNU,⠛⠥⠼⠃⠐⠦⠅⠁⠅⠐⠦⠊⠛⠊ ⠛⠥⠝⠥
𒄛,74011,𒄛,1211B,CUNEIFORM SIGN GU2 TIMES NUN,⠛⠥⠼⠃⠐⠦⠝⠥⠝
𒄜,74012,𒄜,1211C,CUNEIFORM SIGN GU2 TIMES SAL PLUS TUG2,⠛⠥⠼⠃⠐⠦⠎⠁⠇⠐⠖⠞⠥⠛⠼⠃
𒄝,74013,𒄝,1211D,CUNEIFORM SIGN GU2 GUNU,⠛⠥⠼⠃ ⠛⠥⠝⠥
𒄞,74014,𒄞,1211E,CUNEIFORM SIGN GUD,⠛⠥⠙
𒄟,74015,𒄟,1211F,CUNEIFORM SIGN GUD TIMES A PLUS KUR,⠛⠥⠙⠐⠦⠁⠐⠖⠅⠥⠗
𒄠,74016,𒄠,12120,CUNEIFORM SIGN GUD TIMES KUR,⠛⠥⠙⠐⠦⠅⠥⠗
𒄡,74017,𒄡,12121,CUNEIFORM SIGN GUD OVER GUD LUGAL,⠛⠥⠙⠐⠌⠛⠥⠙ ⠇⠥⠛⠁⠇
𒄢,74018,𒄢,12122,CUNEIFORM SIGN GUL,⠛⠥⠇
𒄣,74019,𒄣,12123,CUNEIFORM SIGN GUM,⠛⠥⠍
𒄤,74020,𒄤,12124,CUNEIFORM SIGN GUM TIMES SHE,⠛⠥⠍⠐⠦⠎⠓⠑
𒄥,74021,𒄥,12125,CUNEIFORM SIGN GUR,⠛⠥⠗
𒄦,74022,𒄦,12126,CUNEIFORM SIGN GUR7,⠛⠥⠗⠼⠛
𒄧,74023,𒄧,12127,CUNEIFORM SIGN GURUN,⠛⠥⠗⠥⠝
𒄨,74024,𒄨,12128,CUNEIFORM SIGN GURUSH,⠛⠥⠗⠥⠎⠓
𒄩,74025,𒄩,12129,CUNEIFORM SIGN HA,⠓⠁
𒄪,74026,𒄪,1212A,CUNEIFORM SIGN HA TENU,⠓⠁ ⠞⠑⠝⠥
𒄫,74027,𒄫,1212B,CUNEIFORM SIGN HA GUNU,⠓⠁ ⠛⠥⠝⠥
𒄬,74028,𒄬,1212C,CUNEIFORM SIGN HAL,⠓⠁⠇
𒄭,74029,𒄭,1212D,CUNEIFORM SIGN HI,⠓⠊
𒄮,74030,𒄮,1212E,CUNEIFORM SIGN HI TIMES ASH,⠓⠊⠐⠦⠁⠎⠓
𒄯,74031,𒄯,1212F,CUNEIFORM SIGN HI TIMES ASH2,⠓⠊⠐⠦⠁⠎⠓⠼⠃
𒄰,74032,𒄰,12130,CUNEIFORM SIGN HI TIMES BAD,⠓⠊⠐⠦⠃⠁⠙
𒄱,74033,𒄱,12131,CUNEIFORM SIGN HI TIMES DISH,⠓⠊⠐⠦⠙⠊⠎⠓
𒄲,74034,𒄲,12132,CUNEIFORM SIGN HI TIMES GAD,⠓⠊⠐⠦⠛⠁⠙
𒄳,74035,𒄳,12133,CUNEIFORM SIGN HI TIMES KIN,⠓⠊⠐⠦⠅⠊⠝
𒄴,74036,𒄴,12134,CUNEIFORM SIGN HI TIMES NUN,⠓⠊⠐⠦⠝⠥⠝
𒄵,74037,𒄵,12135,CUNEIFORM SIGN HI TIMES SHE,⠓⠊⠐⠦⠎⠓⠑
𒄶,74038,𒄶,12136,CUNEIFORM SIGN HI TIMES U,⠓⠊⠐⠦⠥
𒄷,74039,𒄷,12137,CUNEIFORM SIGN HU,⠓⠥
𒄸,74040,𒄸,12138,CUNEIFORM SIGN HUB2,⠓⠥⠃⠼⠃
𒄹,74041,𒄹,12139,CUNEIFORM SIGN HUB2 TIMES AN,⠓⠥⠃⠼⠃⠐⠦⠁⠝
𒄺,74042,𒄺,1213A,CUNEIFORM SIGN HUB2 TIMES HAL,⠓⠥⠃⠼⠃⠐⠦⠓⠁⠇
𒄻,74043,𒄻,1213B,CUNEIFORM SIGN HUB2 TIMES KASKAL,⠓⠥⠃⠼⠃⠐⠦⠅⠁⠎⠅⠁⠇
𒄼,74044,𒄼,1213C,CUNEIFORM SIGN HUB2 TIMES LISH,⠓⠥⠃⠼⠃⠐⠦⠇⠊⠎⠓
𒄽,74045,𒄽,1213D,CUNEIFORM SIGN HUB2 TIMES UD,⠓⠥⠃⠼⠃⠐⠦⠥⠙
𒄾,74046,𒄾,1213E,CUNEIFORM SIGN HUL2,⠓⠥⠇⠼⠃
𒄿,74047,𒄿,1213F,CUNEIFORM SIGN I,⠊
𒅀,74048,𒅀,12140,CUNEIFORM SIGN I A,⠊ ⠁
𒅁,74049,𒅁,12141,CUNEIFORM SIGN IB,⠊⠃
𒅂,74050,𒅂,12142,CUNEIFORM SIGN IDIM,⠊⠙⠊⠍
𒅃,74051,𒅃,12143,CUNEIFORM SIGN IDIM OVER IDIM BUR,⠊⠙⠊⠍⠐⠌⠊⠙⠊⠍ ⠃⠥⠗
𒅄,74052,𒅄,12144,CUNEIFORM SIGN IDIM OVER IDIM SQUARED,⠊⠙⠊⠍⠐⠌⠊⠙⠊⠍⠔⠼⠃
𒅅,74053,𒅅,12145,CUNEIFORM SIGN IG,⠊⠛
𒅆,74054,𒅆,12146,CUNEIFORM SIGN IGI,⠊⠛⠊
𒅇,74055,𒅇,12147,CUNEIFORM SIGN IGI DIB,⠊⠛⠊ ⠙⠊⠃
𒅈,74056,𒅈,12148,CUNEIFORM SIGN IGI RI,⠊⠛⠊ ⠗⠊
𒅉,74057,𒅉,12149,CUNEIFORM SIGN IGI OVER IGI SHIR OVER SHIR UD OVER UD,⠊⠛⠊⠐⠌⠊⠛⠊ ⠎⠓⠊⠗⠐⠌⠎⠓⠊⠗ ⠥⠙⠐⠌⠥⠙
𒅊,74058,𒅊,1214A,CUNEIFORM SIGN IGI GUNU,⠊⠛⠊ ⠛⠥⠝⠥
𒅋,74059,𒅋,1214B,CUNEIFORM SIGN IL,⠊⠇
𒅌,74060,𒅌,1214C,CUNEIFORM SIGN IL TIMES GAN2 TENU,⠊⠇⠐⠦⠛⠁⠝⠼⠃ ⠞⠑⠝⠥
𒅍,74061,𒅍,1214D,CUNEIFORM SIGN IL2,⠊⠇⠼⠃
𒅎,74062,𒅎,1214E,CUNEIFORM SIGN IM,⠊⠍
𒅏,74063,𒅏,1214F,CUNEIFORM SIGN IM TIMES TAK4,⠊⠍⠐⠦⠞⠁⠅⠼⠙
𒅐,74064,𒅐,12150,CUNEIFORM SIGN IM CROSSING IM,⠊⠍⠈⠯⠊⠍
𒅑,74065,𒅑,12151,CUNEIFORM SIGN IM OPPOSING IM,⠊⠍⠈⠎⠊⠍
𒅒,74066,𒅒,12152,CUNEIFORM SIGN IM SQUARED,⠊⠍⠔⠼⠃
𒅓,74067,𒅓,12153,CUNEIFORM SIGN IMIN,⠊⠍⠊⠝
𒅔,74068,𒅔,12154,CUNEIFORM SIGN IN,⠊⠝
𒅕,74069,𒅕,12155,CUNEIFORM SIGN IR,⠊⠗
𒅖,74070,𒅖,12156,CUNEIFORM SIGN ISH,⠊⠎⠓
𒅗,74071,𒅗,12157,CUNEIFORM SIGN KA,⠅⠁
𒅘,74072,𒅘,12158,CUNEIFORM SIGN KA TIMES A,⠅⠁⠐⠦⠁
𒅙,74073,𒅙,12159,CUNEIFORM SIGN KA TIMES AD,⠅⠁⠐⠦⠁⠙
𒅚,74074,𒅚,1215A,CUNEIFORM SIGN KA TIMES AD PLUS KU3,⠅⠁⠐⠦⠁⠙⠐⠖⠅⠥⠼⠉
𒅛,74075,𒅛,1215B,CUNEIFORM SIGN KA TIMES ASH2,⠅⠁⠐⠦⠁⠎⠓⠼⠃
𒅜,74076,𒅜,1215C,CUNEIFORM SIGN KA TIMES BAD,⠅⠁⠐⠦⠃⠁⠙
𒅝,74077,𒅝,1215D,CUNEIFORM SIGN KA TIMES BALAG,⠅⠁⠐⠦⠃⠁⠇⠁⠛
𒅞,74078,𒅞,1215E,CUNEIFORM SIGN KA TIMES BAR,⠅⠁⠐⠦⠃⠁⠗
𒅟,74079,𒅟,1215F,CUNEIFORM SIGN KA TIMES BI,⠅⠁⠐⠦⠃⠊
𒅠,74080,𒅠,12160,CUNEIFORM SIGN KA TIMES ERIN2,⠅⠁⠐⠦⠑⠗⠊⠝⠼⠃
𒅡,74081,𒅡,12161,CUNEIFORM SIGN KA TIMES ESH2,⠅⠁⠐⠦⠑⠎⠓⠼⠃
𒅢,74082,𒅢,12162,CUNEIFORM SIGN KA TIMES GA,⠅⠁⠐⠦⠛⠁
𒅣,74083,𒅣,12163,CUNEIFORM SIGN KA TIMES GAL,⠅⠁⠐⠦⠛⠁⠇
𒅤,74084,𒅤,12164,CUNEIFORM SIGN KA TIMES GAN2 TENU,⠅⠁⠐⠦⠛⠁⠝⠼⠃ ⠞⠑⠝⠥
𒅥,74085,𒅥,12165,CUNEIFORM SIGN KA TIMES GAR,⠅⠁⠐⠦⠛⠁⠗
𒅦,74086,𒅦,12166,CUNEIFORM SIGN KA TIMES GAR PLUS SHA3 PLUS A,⠅⠁⠐⠦⠛⠁⠗⠐⠖⠎⠓⠁⠼⠉⠐⠖⠁
𒅧,74087,𒅧,12167,CUNEIFORM SIGN KA TIMES GI,⠅⠁⠐⠦⠛⠊
𒅨,74088,𒅨,12168,CUNEIFORM SIGN KA TIMES GIR2,⠅⠁⠐⠦⠛⠊⠗⠼⠃
𒅩,74089,𒅩,12169,CUNEIFORM SIGN KA TIMES GISH PLUS SAR,⠅⠁⠐⠦⠛⠊⠎⠓⠐⠖⠎⠁⠗
𒅪,74090,𒅪,1216A,CUNEIFORM SIGN KA TIMES GISH CROSSING GISH,⠅⠁⠐⠦⠛⠊⠎⠓⠈⠯⠛⠊⠎⠓
𒅫,74091,𒅫,1216B,CUNEIFORM SIGN KA TIMES GU,⠅⠁⠐⠦⠛⠥
𒅬,74092,𒅬,1216C,CUNEIFORM SIGN KA TIMES GUR7,⠅⠁⠐⠦⠛⠥⠗⠼⠛
𒅭,74093,𒅭,1216D,CUNEIFORM SIGN KA TIMES IGI,⠅⠁⠐⠦⠊⠛⠊
𒅮,74094,𒅮,1216E,CUNEIFORM SIGN KA TIMES IM,⠅⠁⠐⠦⠊⠍
𒅯,74095,𒅯,1216F,CUNEIFORM SIGN KA TIMES KAK,⠅⠁⠐⠦⠅⠁⠅
𒅰,74096,𒅰,12170,CUNEIFORM SIGN KA TIMES KI,⠅⠁⠐⠦⠅⠊
𒅱,74097,𒅱,12171,CUNEIFORM SIGN KA TIMES KID,⠅⠁⠐⠦⠅⠊⠙
𒅲,74098,𒅲,12172,CUNEIFORM SIGN KA TIMES LI,⠅⠁⠐⠦⠇⠊
𒅳,74099,𒅳,12173,CUNEIFORM SIGN KA TIMES LU,⠅⠁⠐⠦⠇⠥
𒅴,74100,𒅴,12174,CUNEIFORM SIGN KA TIMES ME,⠅⠁⠐⠦⠍⠑
𒅵,74101,𒅵,12175,CUNEIFORM SIGN KA TIMES ME PLUS DU,⠅⠁⠐⠦⠍⠑⠐⠖⠙⠥
𒅶,74102,𒅶,12176,CUNEIFORM SIGN KA TIMES ME PLUS GI,⠅⠁⠐⠦⠍⠑⠐⠖⠛⠊
𒅷,74103,𒅷,12177,CUNEIFORM SIGN KA TIMES ME PLUS TE,⠅⠁⠐⠦⠍⠑⠐⠖⠞⠑
𒅸,74104,𒅸,12178,CUNEIFORM SIGN KA TIMES MI,⠅⠁⠐⠦⠍⠊
𒅹,74105,𒅹,12179,CUNEIFORM SIGN KA TIMES MI PLUS NUNUZ,⠅⠁⠐⠦⠍⠊⠐⠖⠝⠥⠝⠥
𒅺,74106,𒅺,1217A,CUNEIFORM SIGN KA TIMES NE,⠅⠁⠐⠦⠝⠑
𒅻,74107,𒅻,1217B,CUNEIFORM SIGN KA TIMES NUN,⠅⠁⠐⠦⠝⠥⠝
𒅼,74108,𒅼,1217C,CUNEIFORM SIGN KA TIMES PI,⠅⠁⠐⠦⠏⠊
𒅽,74109,𒅽,1217D,CUNEIFORM SIGN KA TIMES RU,⠅⠁⠐⠦⠗⠥
𒅾,74110,𒅾,1217E,CUNEIFORM SIGN KA TIMES SA,⠅⠁⠐⠦⠎⠁
𒅿,74111,𒅿,1217F,CUNEIFORM SIGN KA TIMES SAR,⠅⠁⠐⠦⠎⠁⠗
𒆀,74112,𒆀,12180,CUNEIFORM SIGN KA TIMES SHA,⠅⠁⠐⠦⠎⠓⠁
𒆁,74113,𒆁,12181,CUNEIFORM SIGN KA TIMES SHE,⠅⠁⠐⠦⠎⠓⠑
𒆂,74114,𒆂,12182,CUNEIFORM SIGN KA TIMES SHID,⠅⠁⠐⠦⠎⠓⠊⠙
𒆃,74115,𒆃,12183,CUNEIFORM SIGN KA TIMES SHU,⠅⠁⠐⠦⠎⠓⠥
𒆄,74116,𒆄,12184,CUNEIFORM SIGN KA TIMES SIG,⠅⠁⠐⠦⠎⠊⠛
𒆅,74117,𒆅,12185,CUNEIFORM SIGN KA TIMES SUHUR,⠅⠁⠐⠦⠎⠥⠓⠥⠗
𒆆,74118,𒆆,12186,CUNEIFORM SIGN KA TIMES TAR,⠅⠁⠐⠦⠞⠁⠗
𒆇,74119,𒆇,12187,CUNEIFORM SIGN KA TIMES U,⠅⠁⠐⠦⠥
𒆈,74120,𒆈,12188,CUNEIFORM SIGN KA TIMES U2,⠅⠁⠐⠦⠥⠼⠃
𒆉,74121,𒆉,12189,CUNEIFORM SIGN KA TIMES UD,⠅⠁⠐⠦⠥⠙
𒆊,74122,𒆊,1218A,CUNEIFORM SIGN KA TIMES UMUM TIMES PA,⠅⠁⠐⠦⠥⠍⠥⠍⠐⠦⠏⠁
𒆋,74123,𒆋,1218B,CUNEIFORM SIGN KA TIMES USH,⠅⠁⠐⠦⠥⠎⠓
𒆌,74124,𒆌,1218C,CUNEIFORM SIGN KA TIMES ZI,⠅⠁⠐⠦⠵⠊
𒆍,74125,𒆍,1218D,CUNEIFORM SIGN KA2,⠅⠁⠼⠃
𒆎,74126,𒆎,1218E,CUNEIFORM SIGN KA2 CROSSING KA2,⠅⠁⠼⠃⠈⠯⠅⠁⠼⠃
𒆏,74127,𒆏,1218F,CUNEIFORM SIGN KAB,⠅⠁⠃
𒆐,74128,𒆐,12190,CUNEIFORM SIGN KAD2,⠅⠁⠙⠼⠃
𒆑,74129,𒆑,12191,CUNEIFORM SIGN KAD3,⠅⠁⠙⠼⠉
𒆒,74130,𒆒,12192,CUNEIFORM SIGN KAD4,⠅⠁⠙⠼⠙
𒆓,74131,𒆓,12193,CUNEIFORM SIGN KAD5,⠅⠁⠙⠼⠑
𒆔,74132,𒆔,12194,CUNEIFORM SIGN KAD5 OVER KAD5,⠅⠁⠙⠼⠑⠐⠌⠅⠁⠙⠼⠑
𒆕,74133,𒆕,12195,CUNEIFORM SIGN KAK,⠅⠁⠅
𒆖,74134,𒆖,12196,CUNEIFORM SIGN KAK TIMES IGI GUNU,⠅⠁⠅⠐⠦⠊⠛⠊ ⠛⠥⠝⠥
𒆗,74135,𒆗,12197,CUNEIFORM SIGN KAL,⠅⠁⠇
𒆘,74136,𒆘,12198,CUNEIFORM SIGN KAL TIMES BAD,⠅⠁⠇⠐⠦⠃⠁⠙
𒆙,74137,𒆙,12199,CUNEIFORM SIGN KAL CROSSING KAL,⠅⠁⠇⠈⠯⠅⠁⠇
𒆚,74138,𒆚,1219A,CUNEIFORM SIGN KAM2,⠅⠁⠍⠼⠃
𒆛,74139,𒆛,1219B,CUNEIFORM SIGN KAM4,⠅⠁⠍⠼⠙
𒆜,74140,𒆜,1219C,CUNEIFORM SIGN KASKAL,⠅⠁⠎⠅⠁⠇
𒆝,74141,𒆝,1219D,CUNEIFORM SIGN KASKAL LAGAB TIMES U OVER LAGAB TIMES U,⠅⠁⠎⠅⠁⠇ ⠇⠁⠛⠁⠃⠐⠦⠥⠐⠌⠇⠁⠛⠁⠃⠐⠦⠥
𒆞,74142,𒆞,1219E,CUNEIFORM SIGN KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U,⠅⠁⠎⠅⠁⠇⠐⠌⠅⠁⠎⠅⠁⠇ ⠇⠁⠛⠁⠃⠐⠦⠥⠐⠌⠇⠁⠛⠁⠃⠐⠦⠥
𒆟,74143,𒆟,1219F,CUNEIFORM SIGN KESH2,⠅⠑⠎⠓⠼⠃
𒆠,74144,𒆠,121A0,CUNEIFORM SIGN KI,⠅⠊
𒆡,74145,𒆡,121A1,CUNEIFORM SIGN KI TIMES BAD,⠅⠊⠐⠦⠃⠁⠙
𒆢,74146,𒆢,121A2,CUNEIFORM SIGN KI TIMES U,⠅⠊⠐⠦⠥
𒆣,74147,𒆣,121A3,CUNEIFORM SIGN KI TIMES UD,⠅⠊⠐⠦⠥⠙
𒆤,74148,𒆤,121A4,CUNEIFORM SIGN KID,⠅⠊⠙
𒆥,74149,𒆥,121A5,CUNEIFORM SIGN KIN,⠅⠊⠝
𒆦,74150,𒆦,121A6,CUNEIFORM SIGN KISAL,⠅⠊⠎⠁⠇
𒆧,74151,𒆧,121A7,CUNEIFORM SIGN KISH,⠅⠊⠎⠓
𒆨,74152,𒆨,121A8,CUNEIFORM SIGN KISIM5,⠅⠊⠎⠊⠍⠼⠑
𒆩,74153,𒆩,121A9,CUNEIFORM SIGN KISIM5 OVER KISIM5,⠅⠊⠎⠊⠍⠼⠑⠐⠌⠅⠊⠎⠊⠍⠼⠑
𒆪,74154,𒆪,121AA,CUNEIFORM SIGN KU,⠅⠥
